mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,pca__n_components
0.9182292309491427,0.007260371418854595,83,0.8,10,0.8,0.5,10,10,200,31,10
0.9180862126783211,0.006264923370161614,84,0.8,10,0.8,0.5,20,10,150,31,30
0.9180383287767165,0.007054348814705929,85,0.8,10,0.8,0.5,-1,5,150,31,30
0.9177439307066318,0.006591868340452289,86,0.8,10,0.8,0.5,-1,10,200,80,30
0.9177235544695534,0.0059077642601167105,87,0.8,10,0.8,0.5,-1,10,200,50,30
0.9175107439515706,0.0049085541797721805,88,0.8,10,0.8,0.5,10,10,200,50,30
0.9175107439515706,0.0049085541797721805,88,0.8,10,0.8,0.5,-1,5,200,31,20
0.9174756817516849,0.005050297878990273,90,0.8,10,1.0,0.5,10,5,200,31,20
0.9171615836847893,0.0064802732552267095,91,0.8,10,0.8,0.5,20,10,200,31,10
0.9169396581395656,0.004902588962646994,92,0.8,10,1.0,0.5,10,5,150,50,20
0.9169396581395656,0.004902588962646994,92,0.8,10,1.0,0.5,10,5,150,31,20
0.9169355058333313,0.008888927378585378,94,0.8,10,0.8,0.5,20,10,200,80,10
0.9167613987930086,0.0042621743049150625,95,0.8,10,0.8,0.5,20,10,150,80,30
0.9163927645316612,0.004931209174148014,96,0.8,10,0.8,0.5,-1,10,150,80,30
0.9163848894821403,0.008884229121404174,97,0.8,10,0.8,0.5,10,10,150,80,30
0.9161475735130494,0.006242740948375188,98,0.8,10,0.8,0.5,-1,10,150,31,10
0.9161475735130494,0.006242740948375188,98,0.8,10,0.8,0.5,-1,10,200,31,10
0.9159149595478493,0.00566259398714849,100,0.8,10,0.8,0.5,-1,10,150,50,30
0.915893759953341,0.005557206154970474,101,0.8,10,0.8,0.5,10,10,200,31,30
0.9156394605601254,0.005637750312587197,102,0.8,10,0.8,0.5,20,5,150,31,20
0.9156132774164012,0.006880450475011776,103,0.8,10,1.0,0.5,10,5,150,80,20
0.9152838280840492,0.004950035662175727,104,0.8,10,0.8,0.5,20,10,200,80,30
0.9152838280840492,0.004950035662175727,104,0.8,10,0.8,0.5,10,10,200,80,30
0.9152139694433263,0.006609923296993292,106,0.8,10,0.8,0.5,-1,10,200,31,30
0.9151557555140464,0.005032713811867345,107,0.8,10,0.8,0.5,20,10,200,31,30
0.9151557555140464,0.005032713811867345,107,0.8,10,0.8,0.5,20,10,200,50,30
0.9060194331998328,0.005837220950489663,109,0.8,10,1.0,0.5,-1,5,150,80,30
0.9055166093232991,0.00732967993364834,110,0.8,10,1.0,0.5,10,5,150,50,30
0.9054431811473448,0.0074617904785020395,111,0.8,10,0.8,0.5,-1,5,200,80,20
0.9053194418704857,0.009262844937749584,112,0.8,10,0.8,0.5,20,10,150,80,20
0.9049285743237642,0.011353408118124126,113,0.8,10,1.0,0.5,10,10,200,31,30
0.9048869820512475,0.006798664414230959,114,0.8,5,0.8,0.5,20,5,200,31,20
0.9048183990310099,0.007039099853678889,115,1.0,5,1.0,0.5,-1,5,200,50,10
0.904800996261715,0.007650197987126711,116,0.8,10,1.0,0.5,10,10,150,80,30
0.904789664846106,0.005535735552611556,117,0.8,10,0.8,0.5,10,10,150,31,20
0.9044400495109712,0.007788817565786468,118,0.8,10,1.0,0.5,20,5,200,31,30
0.9043565186324379,0.0065130303671320396,119,0.8,10,1.0,0.5,-1,5,200,50,20
0.9042850369125727,0.00712135251037136,120,0.8,5,0.8,0.5,10,5,200,80,20
0.9041839936192888,0.007123617232887571,121,0.8,10,1.0,0.5,-1,5,200,31,20
0.9038967180850582,0.008950006459686868,122,0.8,10,0.8,0.5,-1,5,200,50,20
0.9038859991898797,0.009511534689022787,123,0.8,10,1.0,0.5,10,5,150,31,30
0.9038412213069013,0.008823885537001083,124,0.8,5,0.8,0.5,10,5,150,80,20
0.9037302436377959,0.009260834773665141,125,0.8,5,1.0,0.5,10,5,200,80,20
0.9035225418493077,0.007976740433237994,126,0.8,5,1.0,0.5,-1,5,200,31,30
0.903449528674637,0.008933697398707268,127,0.8,10,0.8,0.5,20,10,200,50,20
0.903449528674637,0.008933697398707268,127,0.8,10,0.8,0.5,20,10,200,31,20
0.9033611342080186,0.006574903904495301,129,0.8,10,1.0,0.5,20,5,150,80,30
0.9032576643301425,0.006174430320249423,130,0.8,10,0.8,0.5,-1,10,200,31,20
0.9032473079106069,0.008476439644971873,131,0.8,10,1.0,0.5,-1,10,200,50,30
