mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,lgbm__verbose,pca__n_components
0.9512940331755539,0.0051104153037244944,98,0.8,5,0.8,0.1,-1,5,150,50,-1,10
0.9512580366842623,0.005783097084413363,99,0.8,5,1.0,0.2,-1,10,150,31,-1,10
0.9512437833725121,0.00556213151997199,100,1.0,10,1.0,0.1,-1,10,200,80,-1,20
0.95090827276755,0.006560981535372173,101,1.0,5,0.8,0.2,10,5,200,50,-1,10
0.9507946258763559,0.005869604801480094,102,1.0,10,0.8,0.2,-1,10,200,50,-1,10
0.9507472111565851,0.0060372702045945826,103,1.0,10,1.0,0.1,20,10,200,31,-1,20
0.9505873983233151,0.006353025270432654,104,1.0,10,1.0,0.1,20,10,200,80,-1,20
0.9501882354834601,0.004643993899005047,105,1.0,5,1.0,0.1,-1,10,200,31,-1,20
0.9500923671487784,0.0038617192454589327,106,0.8,5,0.8,0.1,20,5,150,31,-1,10
0.9493429695424427,0.0051736601629427765,107,1.0,5,0.8,0.2,10,5,200,80,-1,10
0.9493429695424427,0.0051736601629427765,107,1.0,10,0.8,0.2,20,10,150,50,-1,10
0.9387743280257734,0.007818920439404395,109,1.0,5,0.8,0.2,-1,5,200,80,-1,10
0.9385838449122563,0.0037932151951176694,110,0.8,10,0.8,0.1,20,10,150,80,-1,10
0.9384041864982228,0.00738812041362971,111,1.0,5,0.8,0.2,20,5,150,31,-1,10
0.9382884389135493,0.0070354177779060455,112,0.8,5,0.8,0.2,-1,10,150,80,-1,20
0.9379043133746038,0.006530496359098361,113,0.8,10,1.0,0.2,20,10,150,31,-1,10
0.9372814625756739,0.005990170371746237,114,0.8,10,1.0,0.2,10,10,200,80,-1,10
0.9372623672643708,0.008027802516329941,115,1.0,5,0.8,0.2,10,10,200,50,-1,10
0.9371802030857885,0.007227571837756234,116,1.0,10,0.8,0.2,-1,5,200,31,-1,10
